[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/auth/login, Body: undefined}
[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/cart/get_cart_info, Body: undefined}
[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/cart/get_cart_four, Body: undefined}
[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/cart/post_cart_info, Body: undefined}
[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/cart/post_cart_info, Body: undefined}
[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/cart/post_cart_info, Body: undefined}
[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/cart/get_cart_info, Body: undefined}
[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/cart/get_cart_four, Body: undefined}
[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/cart/post_cart_info, Body: undefined}
[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/cart/get_cart_info, Body: undefined}
[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/cart/get_cart_four, Body: undefined}
[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/admin/delete_data, Body: undefined}
[2023-05-27 11:58:17] WHERE : Req_Logger STATUS : 200 OPTION :  IP: ::1, Method: POST, URL: /api/admin/delete_data, Body: undefined}
